epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.642,1.53533,3.07767,1.74637,0.55406,0.25908,0.29484,0.16037,1.43897,2.77114,1.70177,0.000221896,0.000221896,0.000221896
2,270.651,1.52763,2.44714,1.71569,0.68975,0.26386,0.34221,0.18297,1.4241,2.61888,1.70007,0.00040025,0.00040025,0.00040025
3,397.416,1.52913,2.28752,1.72216,0.64693,0.36106,0.41705,0.22854,1.47488,2.30896,1.6881,0.000534583,0.000534583,0.000534583
4,524.002,1.48679,2.12144,1.68453,0.71229,0.38265,0.47594,0.25499,1.42158,2.13575,1.65954,0.000468901,0.000468901,0.000468901
5,650.701,1.43861,1.96959,1.63757,0.53504,0.46607,0.48849,0.26833,1.39142,2.01137,1.59866,0.000402868,0.000402868,0.000402868
6,777.278,1.3988,1.87158,1.60097,0.58235,0.4808,0.51217,0.28664,1.36028,1.98251,1.59841,0.000336835,0.000336835,0.000336835
7,878.808,1.36274,1.797,1.57416,0.59144,0.51984,0.5579,0.31796,1.304,1.79233,1.55685,0.000270802,0.000270802,0.000270802
8,959.728,1.31176,1.71018,1.53175,0.59425,0.53593,0.56355,0.31864,1.29219,1.78967,1.54462,0.000204769,0.000204769,0.000204769
9,1040.61,1.27748,1.65397,1.50451,0.5546,0.53803,0.58799,0.34072,1.27229,1.7122,1.50396,0.000138736,0.000138736,0.000138736
10,1121.39,1.24964,1.58071,1.47389,0.57681,0.5882,0.60156,0.35314,1.2469,1.6561,1.48533,7.2703e-05,7.2703e-05,7.2703e-05
